,RedFighter,BlueFighter,RedOdds,BlueOdds,Date,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,Finish,FinishRoundTime,TotalFightTimeSecs
43,Mansur Abdul-Malik,Dusko Todorovic,-485.0,370.0,2024-11-09,Red,False,Middleweight,1,3,1,0,0,5.35,0.57,0.0,0.92,0.12,2,4,14,0,0,0,1,3,0,0,4,1.0,185.42,187.96,185,0,1,0,6.61,0.54,0.0,0.0,0.0,1,0,2,0,0,0,0,1,0,0,1,1.0,187.96,200.66,185,27,30,KO/TKO,2:44,164.0
44,Karolina Kowalkiewicz,Denise Gomes,,,2024-11-09,Blue,False,Women's Strawweight,0,3,0,1,0,4.55,0.5,0.9,0.72,0.25,2,2,15,0,0,1,1,2,0,0,4,1.0,157.48,160.02,115,1,0,0,5.54,0.43,0.2,0.31,0.22,4,8,46,1,0,2,6,0,1,0,9,1.0,160.02,162.56,115,39,24,U-DEC,5:00,900.0
45,Elizeu Zaleski dos Santos,Zachary Scroggin,,,2024-11-09,Red,False,Welterweight,1,3,0,0,0,2.4,0.37,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,190.5,187.96,170,1,0,1,4.33,0.41,0.5,0.7,0.2,7,4,40,0,0,2,4,3,1,0,10,1.0,180.34,185.42,170,37,28,KO/TKO,1:15,75.0
46,Matthew Semelsberger,Charles Radtke,,,2024-11-09,Blue,False,Welterweight,1,3,1,0,0,3.38,0.53,0.0,0.59,0.12,2,1,5,0,0,0,1,1,0,0,2,1.0,175.26,182.88,170,3,0,0,3.77,0.42,0.4,1.01,0.57,2,5,26,0,0,0,3,2,0,0,5,,185.42,190.5,170,31,34,KO/TKO,0:51,51.0
47,Cody Stamann,Da'Mon Blackshear,,,2024-11-09,Blue,False,Bantamweight,1,3,2,0,1,4.3,0.47,1.4,2.17,0.37,2,3,13,0,0,0,0,1,1,0,2,,177.8,182.88,135,2,0,1,4.32,0.46,0.0,2.17,0.37,3,6,37,0,0,2,4,1,0,0,7,1.0,167.64,162.56,135,35,30,SUB,4:19,259.0
48,Tresean Gore,Antonio Trocoli,,,2024-11-09,Red,False,Middleweight,1,3,1,0,0,1.29,0.5,0.8,0.84,0.11,0,1,4,0,0,0,0,0,0,0,0,1.0,198.12,200.66,185,0,1,0,3.0,0.54,1.7,3.46,0.75,1,2,6,0,0,0,0,0,1,0,1,,182.88,190.5,185,30,33,SUB,1:23,83.0
49,Melissa Mullins,Klaudia Sygula,,,2024-11-09,Red,False,Women's Bantamweight,0,3,0,0,0,1.89,0.37,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,172.72,175.26,135,1,0,0,3.43,0.56,0.0,1.53,0.37,1,1,5,0,0,0,1,0,0,0,1,1.0,170.18,172.72,135,33,25,KO/TKO,1:20,380.0
50,Brandon Moreno,Amir Albazi,-180.0,150.0,2024-11-02,Red,False,Flyweight,1,5,0,5,0,2.72,0.34,0.5,1.39,0.32,5,0,13,0,0,1,1,1,2,0,5,1.0,165.1,172.72,125,2,0,2,3.99,0.43,0.4,1.59,0.46,3,5,53,6,0,1,2,3,3,0,9,1.0,170.18,177.8,125,30,31,U-DEC,5:00,1500.0
51,Erin Blanchfield,Rose Namajunas,-155.0,130.0,2024-11-02,Red,False,Women's Flyweight,0,3,0,2,0,3.71,0.42,0.4,1.46,0.5,3,5,52,7,0,2,4,2,3,0,11,1.0,165.1,165.1,125,1,0,0,5.24,0.44,0.8,1.86,0.31,6,1,19,0,0,0,3,0,3,0,6,1.0,162.56,167.64,125,25,32,U-DEC,5:00,1500.0
52,Caio Machado,Brendson Ribeiro,-192.0,160.0,2024-11-02,Blue,False,Light Heavyweight,1,3,2,0,0,3.16,0.42,0.4,1.27,0.5,1,2,5,0,0,0,0,1,0,0,1,1.0,190.5,205.74,205,2,0,0,5.82,0.53,0.0,0.0,0.0,1,2,9,0,0,0,1,0,0,0,1,0.0,193.04,198.12,250,30,28,S-DEC,5:00,900.0
53,Ariane da Silva,Jasmine Jasudavicius,190.0,-250.0,2024-11-02,Blue,False,Women's Flyweight,0,3,0,2,0,3.7,0.44,0.6,2.5,0.43,2,2,24,0,0,0,5,0,1,0,6,1.0,170.18,172.72,125,1,0,0,4.04,0.41,0.3,0.52,0.55,3,6,29,0,0,1,3,0,2,0,6,1.0,167.64,170.18,125,30,35,SUB,2:28,748.0
54,Marc-Andre Barriault,Dustin Stoltzfus,-270.0,220.0,2024-11-02,Blue,False,Middleweight,1,3,1,0,0,3.47,0.44,1.1,2.31,0.41,1,5,17,0,0,0,1,1,1,0,3,1.0,182.88,190.5,185,2,0,0,5.98,0.47,0.1,0.21,0.25,2,7,31,0,0,0,2,2,1,0,5,1.0,185.42,187.96,185,34,32,KO/TKO,4:28,268.0
55,Mike Malott,Trevin Giles,-375.0,295.0,2024-11-02,Red,False,Welterweight,1,3,2,0,0,3.17,0.54,0.3,1.07,0.5,3,6,32,0,0,2,2,3,0,0,7,1.0,182.88,187.96,170,1,0,0,3.85,0.46,0.8,2.27,0.56,4,1,8,0,0,0,0,1,3,0,4,1.0,185.42,185.42,170,32,32,U-DEC,5:00,900.0
